function	insect_51_WholeSpecimen	insect_52_WholeSpecimen	insect_53_WholeSpecimen	insect_54_WholeSpecimen	insect_55_WholeSpecimen	insect_56_WholeSpecimen	insect_57_WholeSpecimen	insect_58_WholeSpecimen	insect_59_WholeSpecimen	insect_60_WholeSpecimen	insect_61_WholeSpecimen	insect_62_WholeSpecimen	insect_63_WholeSpecimen	insect_64_WholeSpecimen	insect_65_WholeSpecimen	insect_66_WholeSpecimen	insect_67_WholeSpecimen	insect_68_WholeSpecimen	insect_69_WholeSpecimen	insect_70_WholeSpecimen
RXN-12473	218.86	580.0	6069.929999999999	139.0	1034.07	1390.0	109.75	39.0	3361.8	291.0	1740.61	1462.51	318.37	335.34000000000003	901.08	756.3299999999999	646.4699999999999	4451.13	756.5600000000001	307.25
RXN-12480	13834.02	4958.51	7401.220000000001	13746.37	23388.04	20500.8	5343.0	301.4	27947.22	7345.889999999999	11111.05	19377.46	17173.72	3159.66	16257.58	9578.45	11467.07	30652.01	18366.82	15302.1
RXN-12481	49.0	359.33	485.59	63.9	924.67	145.0	86.0	149.0	17.0	699.0	6.0	457.5	146.17000000000002	68.67	357.5	126.5	722.54	28.0	80.0	0.0
RXN-12484	0.0	0.0	7.14	0.0	1258.33	0.0	0.0	0.0	0.0	0.0	72.43	369.57	597.57	100.0	0.0	0.0	0.0	0.0	1021.8	0.0
RXN-12490	25078.96	6391.88	6828.29	16894.1	3804.58	9188.0	8505.75	732.0	3399.02	11457.0	10638.12	7508.78	1644.54	5848.17	17699.11	14107.48	25821.36	1967.33	16416.85	6124.25
RXN-12496	40.29	0.0	68.33	2.0	0.0	130.0	0.0	0.0	10.14	0.0	0.0	142.86	50.0	58.67	0.0	4.0	29.0	7.0	0.0	0.0
RXN-12518	0.0	0.0	139.16	47.5	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	38.67	86.5	106.0	295.34000000000003	14.0	0.0	0.0
RXN-12519	12504.79	2601.5	4891.83	8387.5	1835.29	3697.0	4204.75	0.0	1074.36	5320.5	5333.36	2542.28	241.64	2872.0	7843.43	6313.0	12955.0	496.0	6795.5	3148.75
RXN-12545	0.0	0.0	0.0	0.0	19.75	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12558	44.03	175.0	3785.13	25.0	1664.0	1905.0	4375.0	10.0	37.13	439.33	165.82999999999998	2664.07	1747.67	17.0	2242.67	2974.34	1435.67	207.0	954.47	137.0
RXN-12559	44.03	175.0	3785.13	25.0	1664.0	1905.0	4375.0	10.0	37.13	439.33	165.82999999999998	2664.07	1747.67	17.0	2242.67	2974.34	1435.67	207.0	954.47	137.0
RXN-12560	23.0	316.0	267.73	20.4	24.0	12.0	75.75	641.0	522.5	400.0	241.43	121.21	30.93	118.0	1039.95	166.23	16364.94	429.3	3299.0	261.25
RXN-12567	38707.67	12949.99	10477.34	31619.1	13781.47	13022.3	12951.5	1013.4	13998.3	18739.12	21011.53	20812.98	5815.17	9326.35	37267.45	23480.13	65843.97	30790.87	30341.03	21494.0
RXN-12570	25078.96	6391.88	6828.29	16894.1	3804.58	9188.0	8505.75	732.0	3399.02	11457.0	10638.12	7508.78	1644.54	5848.17	17699.11	14107.48	25821.36	1967.33	16416.85	6124.25
RXN-12571	0.0	0.0	442.4	1.4	0.0	198.0	94.0	149.0	17.8	329.0	6.0	559.4	46.0	54.0	458.66	4.66	256.2	48.66	160.0	0.0
RXN-12573	0.0	0.0	62.6	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.66	4.66	68.2	48.66	0.0	0.0
RXN-12575	277.78	2658.49	2120.2	137.4	4429.27	19222.8	4627.75	459.4	7414.3	1833.97	2205.0	19736.370000000003	10991.25	157.0	5712.46	8816.63	9219.92	3799.93	19039.9	12730.25
RXN-12579	583.0	132.0	757.95	2743.8	1200.0	441.0	10.75	111.0	1796.9	338.0	579.0	2196.78	508.23	336.34000000000003	372.62	496.14	276.04	656.88	155.8	261.25
RXN-12581	0.0	0.0	41.16	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.67	8.0	0.0	35.34	0.0	0.0	0.0
RXN-12586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12588	41138.93	17528.86	24322.86	41649.87	64098.31	64417.0	23230.75	63720.2	52671.01	23469.51	38929.62	59793.76	50931.63	9994.63	52706.65	47510.55	94872.93	94060.74	65399.73999999999	46372.55
RXN-12609	92.38	130.88	144.99	43.0	158.0	1709.0	0.0	102.0	1711.0	165.0	80.4	2261.42	930.76	31.5	831.29	1521.3200000000002	1874.95	652.87	6052.25	88.0
RXN-12610	15631.65	5596.179999999999	10343.63	14926.34	29391.36	10005.2	5451.75	2555.4	34214.29	8298.9	13429.07	25622.09	16050.96	3515.15	19340.13	11834.87	32486.98	36155.57	28651.46	15695.55
RXN-12611	15631.65	5596.179999999999	10343.63	14926.34	29391.36	10005.2	5451.75	2555.4	34214.29	8298.9	13429.07	25622.09	16050.96	3515.15	19340.13	11834.87	32486.98	36155.57	28651.46	15695.55
RXN-12613	206.67	2344.61	1936.3	1019.4	568.6	1953.8	4820.0	59436.4	4208.9400000000005	1511.8	2107.6000000000004	16689.059999999998	5805.02	273.5	4212.780000000001	6002.389999999999	4527.0	2498.51	2174.81	12391.0
